Date,Market,Keyword,Average.Position,CPC,CTR (%),Impressions,Cost
20130214,UK-Market,cheap life insurance,1,93.76,2.60,150,361.61
20130214,UK-Market,vioxx law suit,0,0,0.00,0,0
20130214,UK-Market,student loan refinance,0,0,0.00,0,0
20130214,UK-Market,car hire alicante spain,1,14.19,3.20,129,57.8
20130214,UK-Market,refinancing my home,0,0,0.00,0,0
20130214,UK-Market,criminal dallas lawyer,0,0,0.00,0,0
20130214,UK-Market,line of credit home equity,0,0,0.00,0,0
20130214,UK-Market,litigation vioxx,0,0,0.00,0,0
20130214,UK-Market,at and t phones,0,0,0.00,0,0
20130214,UK-Market,criminal defense attorney los angeles,0,0,0.00,0,0
20130214,UK-Market,commodity online trading,0,0,0.00,0,0
20130214,UK-Market,home equity rates,1,11.92,2.70,21,6.9
20130214,UK-Market,law lemon mass,0,0,0.00,0,0
20130214,UK-Market,equity home,1,13.18,1.60,427,92.25
20130214,UK-Market,arizona law lemon,0,0,0.00,0,0
20130214,UK-Market,child molestation attorney,0,0,0.00,0,0
20130214,UK-Market,home line of credit,0,0,0.00,0,0
20130214,UK-Market,alicante car rental spain,0,0,0.00,0,0
20130214,UK-Market,attorney defense federal,0,0,0.00,0,0
20130214,UK-Market,san diego criminal attorney,0,0,0.00,0,0
20130214,UK-Market,injury lawyer new york,0,0,0.00,0,0
20130214,UK-Market,attorney injury new personal york,0,0,0.00,0,0
20130214,UK-Market,at and t mobile,0,0,0.00,0,0
20130214,UK-Market,pleural mesothelioma,0,0,0.00,0,0
20130214,UK-Market,augmentation breast diego san,0,0,0.00,0,0
20130214,UK-Market,home equity poor credit,0,0,0.00,0,0
20130214,UK-Market,health insurance temporary,0,0,0.00,0,0
20130214,UK-Market,compensation mesothelioma,0,0,0.00,0,0
20130214,UK-Market,21st century insurance,0,0,0.00,0,0
20130214,UK-Market,cheap insurance medical,0,0,0.00,0,0
20130214,UK-Market,angeles criminal lawyer los,0,0,0.00,0,0
20130214,UK-Market,low cost term life insurance,0,0,0.00,0,0
20130214,UK-Market,home refinance loans,1,3.89,3.70,156,22.66
20130214,UK-Market,eloan,1,0.11,2.90,25,0.08
